"","ID","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition_num"
"1",1,"29 to 39","No","Travel_Rarely","Low(100-450)","Sales","10-15 miles",4,"Life Sciences",859,"medium","Male","High (61-80)","high",2,"Sales Executive","very high","Divorced","low-Medium (4001-7000)",9250,2,"No",11,"high","high",1,8,3,"medium","Low(0-5 Years)",2,0,3,0
"2",2,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Research & Development","10-15 miles",3,"Medical",1128,"high","Male","Medium (41-60)","medium",5,"Research Director","high","Single","Very High (16001-19999)",17544,1,"No",14,"high","low",0,21,2,"very high","Medium-High (16-20 Years)",7,4,9,0
"3",3,"29 to 39","No","Travel_Frequently","Low(100-450)","Research & Development",">=16",2,"Life Sciences",1412,"high","Male","Medium (41-60)","high",3,"Manufacturing Director","very high","Single","Medium (7001-10000)",19944,2,"No",11,"high","high",0,10,2,"high","Low(0-5 Years)",2,2,2,0
"4",4,"29 to 39","No","Travel_Rarely","High (801-1150)","Sales","<=2 miles",4,"Marketing",2016,"high","Female","Medium (41-60)","high",3,"Sales Executive","very high","Married","Medium-High (10001-13000)",24032,1,"No",19,"high","high",2,14,3,"high","Medium (11-15 Years)",10,5,7,0
"5",5,"18 to 28","No","Travel_Frequently","Medium (451-800)","Research & Development","<=2 miles",1,"Technical Degree",1646,"low","Female","Low(0-40)","high",1,"Research Scientist","very high","Single","Low(1000-4000)",17218,1,"Yes",13,"high","high",0,6,2,"high","low-Medium (6-10 Years)",3,1,3,0
"6",6,"18 to 28","No","Travel_Frequently","Low(100-450)","Research & Development","10-15 miles",2,"Life Sciences",733,"very high","Male","Low(0-40)","high",3,"Manufacturing Director","low","Divorced","Medium (7001-10000)",4809,1,"No",21,"very high","high",2,9,4,"medium","low-Medium (6-10 Years)",7,1,7,0
"7",7,"40 to 50","No","Travel_Rarely","Very High (1151-1500)","Research & Development","3-5 miles",5,"Medical",1448,"medium","Male","Very High (81-110)","very high",1,"Research Scientist","high","Married","Low(1000-4000)",5561,2,"Yes",12,"high","low",0,7,5,"medium","Low(0-5 Years)",2,0,3,0
"8",8,"29 to 39","No","Travel_Rarely","Low(100-450)","Sales","10-15 miles",4,"Life Sciences",1105,"very high","Female","Very High (81-110)","medium",2,"Sales Executive","very high","Divorced","low-Medium (4001-7000)",24223,2,"Yes",14,"high","high",3,8,5,"high","Low(0-5 Years)",0,0,0,0
"9",9,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Sales","10-15 miles",4,"Life Sciences",1055,"high","Female","Very High (81-110)","high",1,"Sales Representative","high","Married","Low(1000-4000)",18410,1,"Yes",19,"high","very high",1,1,2,"high","Low(0-5 Years)",1,0,0,0
"10",10,"29 to 39","No","Travel_Frequently","Medium (451-800)","Research & Development","10-15 miles",4,"Technical Degree",1597,"very high","Male","Very High (81-110)","medium",2,"Healthcare Representative","high","Married","low-Medium (4001-7000)",15332,1,"No",14,"high","medium",1,8,3,"medium","low-Medium (6-10 Years)",2,7,7,0
"11",11,"40 to 50","No","Travel_Rarely","High (801-1150)","Research & Development","6-9 miles",3,"Medical",1866,"low","Female","Very High (81-110)","medium",5,"Manager","high","Married","Very High (16001-19999)",22539,7,"No",13,"high","very high",0,21,2,"high","Medium-High (16-20 Years)",12,6,14,0
"12",12,"18 to 28","No","Non-Travel","Low(100-450)","Human Resources","<=2 miles",2,"Life Sciences",1858,"high","Male","Medium (41-60)","high",1,"Human Resources","very high","Divorced","Low(1000-4000)",10494,1,"No",15,"high","medium",1,3,2,"high","Low(0-5 Years)",2,2,2,0
"13",13,"29 to 39","No","Travel_Rarely","High (801-1150)","Research & Development","6-9 miles",3,"Other",845,"high","Male","Medium (41-60)","high",3,"Manufacturing Director","high","Single","Medium-High (10001-13000)",18869,3,"No",21,"very high","medium",0,17,3,"very high","low-Medium (6-10 Years)",5,1,6,0
"14",14,"29 to 39","No","Travel_Rarely","Low(100-450)","Sales","<=2 miles",1,"Technical Degree",508,"high","Male","High (61-80)","high",1,"Sales Representative","medium","Married","Low(1000-4000)",17434,1,"No",18,"high","low",1,1,3,"high","Low(0-5 Years)",0,0,0,0
"15",15,"40 to 50","No","Travel_Rarely","High (801-1150)","Human Resources","<=2 miles",2,"Life Sciences",1314,"very high","Female","Medium (41-60)","high",1,"Human Resources","low","Single","Low(1000-4000)",22957,6,"No",12,"high","high",0,10,3,"very high","low-Medium (6-10 Years)",6,5,7,0
"16",16,"29 to 39","No","Non-Travel","Very High (1151-1500)","Sales",">=16",2,"Marketing",947,"very high","Female","Medium (41-60)","high",2,"Sales Executive","high","Married","low-Medium (4001-7000)",24406,1,"No",13,"high","very high",1,9,2,"medium","low-Medium (6-10 Years)",8,0,0,0
"17",17,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development","3-5 miles",4,"Medical",966,"high","Female","Very High (81-110)","high",2,"Manufacturing Director","low","Married","low-Medium (4001-7000)",13554,1,"No",12,"high","high",1,8,2,"very high","low-Medium (6-10 Years)",7,6,3,0
"18",18,"40 to 50","No","Non-Travel","High (801-1150)","Research & Development","6-9 miles",4,"Medical",487,"high","Female","Low(0-40)","high",2,"Manufacturing Director","high","Married","low-Medium (4001-7000)",16044,2,"No",14,"high","high",0,7,2,"very high","Low(0-5 Years)",0,0,0,0
"19",19,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",4,"Medical",1755,"very high","Male","Very High (81-110)","very high",1,"Research Scientist","very high","Married","Low(1000-4000)",5586,0,"Yes",14,"high","low",3,6,3,"high","Low(0-5 Years)",0,1,2,0
"20",20,"40 to 50","No","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",4,"Life Sciences",1903,"medium","Male","High (61-80)","very high",2,"Healthcare Representative","low","Married","low-Medium (4001-7000)",9364,2,"No",15,"high","very high",1,10,5,"high","Low(0-5 Years)",0,2,2,0
"21",21,"29 to 39","No","Travel_Rarely","High (801-1150)","Research & Development","6-9 miles",2,"Medical",699,"medium","Male","Medium (41-60)","medium",2,"Manufacturing Director","medium","Divorced","Medium (7001-10000)",13934,2,"Yes",11,"high","high",1,13,2,"high","Low(0-5 Years)",2,0,2,0
"22",22,"40 to 50","No","Travel_Rarely","High (801-1150)","Sales","<=2 miles",1,"Marketing",712,"medium","Male","Medium (41-60)","very high",2,"Sales Executive","medium","Married","Medium (7001-10000)",18597,3,"No",12,"high","very high",0,12,3,"high","Low(0-5 Years)",2,2,2,0
"23",23,"40 to 50","No","Travel_Frequently","High (801-1150)","Research & Development","6-9 miles",5,"Medical",663,"very high","Male","High (61-80)","high",2,"Laboratory Technician","high","Divorced","low-Medium (4001-7000)",19627,3,"Yes",13,"high","medium",1,10,3,"high","low-Medium (6-10 Years)",7,4,7,0
"24",24,"29 to 39","No","Travel_Frequently","Medium (451-800)","Sales","<=2 miles",4,"Other",1613,"very high","Male","Medium (41-60)","high",2,"Sales Executive","low","Single","low-Medium (4001-7000)",21602,7,"No",13,"high","very high",0,10,3,"high","Low(0-5 Years)",2,0,3,0
"25",25,"29 to 39","No","Travel_Rarely","High (801-1150)","Research & Development","<=2 miles",3,"Life Sciences",969,"medium","Female","Medium (41-60)","medium",2,"Healthcare Representative","very high","Single","low-Medium (4001-7000)",12291,0,"No",14,"high","low",0,6,3,"high","Low(0-5 Years)",0,1,4,0
"26",26,"40 to 50","No","Travel_Rarely","High (801-1150)","Sales","3-5 miles",3,"Marketing",1267,"medium","Male","Very High (81-110)","high",5,"Manager","medium","Married","Very High (16001-19999)",8751,7,"No",11,"high","high",1,26,5,"high","High (21-25 Years)",9,3,10,0
"27",27,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Sales","10-15 miles",3,"Life Sciences",1582,"high","Male","High (61-80)","high",2,"Sales Executive","medium","Married","Medium (7001-10000)",12355,0,"No",11,"high","very high",1,10,3,"high","low-Medium (6-10 Years)",8,7,7,0
"28",28,"29 to 39","Yes","Travel_Rarely","Medium (451-800)","Sales","6-9 miles",4,"Marketing",1157,"low","Female","High (61-80)","high",2,"Sales Executive","low","Single","Medium (7001-10000)",18385,0,"Yes",17,"high","low",0,6,3,"high","Low(0-5 Years)",2,0,3,1
"29",29,"51 to 60","Yes","Travel_Rarely","Very High (1151-1500)","Sales",">=16",4,"Life Sciences",1968,"low","Male","High (61-80)","high",3,"Sales Executive","low","Single","Medium-High (10001-13000)",5843,6,"Yes",13,"high","medium",0,15,2,"medium","Low(0-5 Years)",2,2,2,1
"30",30,"51 to 60","No","Non-Travel","Medium (451-800)","Research & Development",">=16",4,"Medical",791,"very high","Male","Medium (41-60)","high",1,"Research Scientist","very high","Married","low-Medium (4001-7000)",26589,0,"No",18,"high","low",1,5,3,"high","Low(0-5 Years)",3,1,2,0
"31",31,"29 to 39","No","Travel_Frequently","Medium (451-800)","Sales","6-9 miles",2,"Medical",195,"very high","Male","Low(0-40)","low",2,"Sales Executive","very high","Divorced","low-Medium (4001-7000)",22812,0,"No",17,"high","very high",3,9,2,"very high","low-Medium (6-10 Years)",7,0,7,0
"32",32,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development",">=16",3,"Medical",1698,"medium","Male","High (61-80)","very high",1,"Laboratory Technician","medium","Married","Low(1000-4000)",13637,1,"No",18,"high","very high",3,14,6,"high","Medium (11-15 Years)",11,2,13,0
"33",33,"40 to 50","No","Travel_Rarely","Medium (451-800)","Sales","<=2 miles",3,"Technical Degree",363,"high","Female","High (61-80)","low",4,"Manager","medium","Married","Very High (16001-19999)",14977,3,"Yes",12,"high","medium",1,28,2,"medium","low-Medium (6-10 Years)",7,7,7,0
"34",34,"29 to 39","No","Travel_Rarely","High (801-1150)","Research & Development","<=2 miles",4,"Medical",1172,"very high","Male","Medium (41-60)","medium",1,"Laboratory Technician","high","Married","Low(1000-4000)",16340,6,"No",12,"high","medium",1,10,2,"high","low-Medium (6-10 Years)",0,1,7,0
"35",35,"29 to 39","No","Travel_Rarely","Very High (1151-1500)","Research & Development","3-5 miles",4,"Life Sciences",1966,"very high","Male","Medium (41-60)","medium",2,"Manufacturing Director","very high","Single","Medium (7001-10000)",10138,8,"No",24,"very high","medium",0,8,1,"high","Low(0-5 Years)",0,0,0,0
"36",36,"29 to 39","No","Travel_Frequently","Very High (1151-1500)","Research & Development","6-9 miles",3,"Life Sciences",359,"medium","Male","Very High (81-110)","very high",1,"Laboratory Technician","medium","Married","Low(1000-4000)",26062,1,"No",20,"very high","high",0,5,3,"low","Low(0-5 Years)",1,0,3,0
"37",37,"29 to 39","Yes","Travel_Rarely","Medium (451-800)","Sales","10-15 miles",3,"Medical",1639,"very high","Male","Medium (41-60)","medium",3,"Sales Executive","low","Married","Medium-High (10001-13000)",21530,9,"No",17,"high","high",0,15,3,"high","Medium (11-15 Years)",12,6,0,1
"38",38,"29 to 39","Yes","Travel_Rarely","Very High (1151-1500)","Sales","10-15 miles",5,"Marketing",1733,"medium","Male","Very High (81-110)","medium",2,"Sales Executive","low","Divorced","low-Medium (4001-7000)",8658,5,"Yes",13,"high","medium",3,16,3,"high","Low(0-5 Years)",2,2,2,1
"39",39,"51 to 60","No","Travel_Rarely","Low(100-450)","Human Resources","6-9 miles",4,"Life Sciences",1338,"very high","Male","Very High (81-110)","high",5,"Manager","medium","Single","Very High (16001-19999)",4022,6,"No",14,"high","low",0,36,4,"high","low-Medium (6-10 Years)",3,7,7,0
"40",40,"29 to 39","No","Travel_Frequently","Medium (451-800)","Sales",">=16",3,"Life Sciences",1135,"high","Male","High (61-80)","very high",1,"Sales Representative","very high","Married","Low(1000-4000)",21981,0,"No",12,"high","low",1,3,4,"high","Low(0-5 Years)",2,2,2,0
"41",41,"51 to 60","No","Non-Travel","Low(100-450)","Sales","<=2 miles",3,"Medical",1824,"medium","Male","Medium (41-60)","high",4,"Manager","medium","Divorced","Very High (16001-19999)",22577,4,"No",22,"very high","very high",1,37,0,"medium","Medium-High (16-20 Years)",9,14,14,0
"42",42,"40 to 50","No","Travel_Rarely","High (801-1150)","Sales","<=2 miles",2,"Technical Degree",783,"medium","Male","Medium (41-60)","low",2,"Sales Representative","high","Single","low-Medium (4001-7000)",12388,0,"No",13,"high","low",0,9,3,"high","low-Medium (6-10 Years)",7,3,1,0
"43",43,"40 to 50","No","Travel_Rarely","Medium (451-800)","Research & Development",">=16",3,"Medical",1674,"very high","Female","High (61-80)","high",1,"Laboratory Technician","low","Divorced","Low(1000-4000)",24941,4,"Yes",16,"high","medium",1,17,2,"medium","Low(0-5 Years)",2,2,2,0
"44",44,"40 to 50","No","Travel_Rarely","High (801-1150)","Research & Development","6-9 miles",2,"Other",1595,"very high","Male","Very High (81-110)","medium",5,"Manager","very high","Single","Very High (16001-19999)",26362,8,"No",22,"very high","very high",0,24,2,"high","Low(0-5 Years)",0,0,1,0
"45",45,"18 to 28","No","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",2,"Life Sciences",1270,"very high","Male","Medium (41-60)","high",1,"Research Scientist","high","Married","Low(1000-4000)",16901,1,"No",22,"very high","very high",1,1,2,"high","Low(0-5 Years)",0,0,1,0
"46",46,"40 to 50","No","Travel_Frequently","Medium (451-800)","Research & Development","6-9 miles",2,"Medical",1480,"low","Female","High (61-80)","high",1,"Laboratory Technician","very high","Single","Low(1000-4000)",16458,1,"No",13,"high","high",0,12,3,"high","Medium (11-15 Years)",9,5,8,0
"47",47,"29 to 39","Yes","Travel_Rarely","High (801-1150)","Sales","<=2 miles",2,"Life Sciences",1734,"low","Male","Low(0-40)","low",2,"Sales Executive","medium","Single","low-Medium (4001-7000)",12147,6,"No",15,"high","medium",0,10,2,"high","Low(0-5 Years)",0,0,0,1
"48",48,"29 to 39","No","Travel_Rarely","Medium (451-800)","Sales","10-15 miles",4,"Marketing",1119,"high","Male","High (61-80)","medium",3,"Sales Executive","high","Divorced","Medium (7001-10000)",5569,0,"Yes",14,"high","medium",2,9,2,"high","low-Medium (6-10 Years)",7,2,7,0
"49",49,"18 to 28","Yes","Travel_Frequently","Very High (1151-1500)","Sales","3-5 miles",3,"Marketing",614,"medium","Male","High (61-80)","high",1,"Sales Representative","medium","Single","Low(1000-4000)",8059,1,"Yes",14,"high","very high",0,0,3,"high","Low(0-5 Years)",0,0,0,1
"50",50,"18 to 28","No","Non-Travel","Medium (451-800)","Research & Development","6-9 miles",3,"Medical",218,"very high","Male","Medium (41-60)","high",1,"Research Scientist","medium","Divorced","Low(1000-4000)",5970,6,"No",18,"high","very high",1,6,1,"low","Low(0-5 Years)",2,2,2,0
"51",51,"29 to 39","No","Travel_Rarely","Low(100-450)","Research & Development","<=2 miles",1,"Life Sciences",662,"high","Female","Medium (41-60)","high",1,"Research Scientist","low","Single","Low(1000-4000)",14561,3,"No",17,"high","very high",0,8,3,"medium","Low(0-5 Years)",0,0,0,0
"52",52,"51 to 60","No","Travel_Rarely","High (801-1150)","Research & Development","<=2 miles",3,"Medical",1423,"very high","Female","High (61-80)","high",5,"Research Director","low","Married","Very High (16001-19999)",22456,3,"Yes",21,"very high","high",1,32,3,"high","low-Medium (6-10 Years)",8,1,5,0
"53",53,"40 to 50","No","Travel_Rarely","High (801-1150)","Research & Development","<=2 miles",1,"Life Sciences",1246,"low","Female","High (61-80)","very high",1,"Research Scientist","very high","Married","Low(1000-4000)",19982,1,"No",13,"high","very high",1,10,5,"high","low-Medium (6-10 Years)",5,7,7,0
"54",54,"40 to 50","No","Non-Travel","High (801-1150)","Research & Development","3-5 miles",2,"Life Sciences",972,"high","Male","Medium (41-60)","high",2,"Laboratory Technician","medium","Married","low-Medium (4001-7000)",23163,1,"No",12,"high","medium",0,9,5,"medium","low-Medium (6-10 Years)",7,0,8,0
"55",55,"29 to 39","No","Travel_Rarely","Medium (451-800)","Research & Development","6-9 miles",4,"Life Sciences",98,"high","Female","High (61-80)","high",2,"Manufacturing Director","very high","Single","low-Medium (4001-7000)",20682,1,"No",23,"very high","very high",0,11,2,"high","Medium (11-15 Years)",7,1,8,0
"56",56,"40 to 50","No","Travel_Rarely","Medium (451-800)","Research & Development","6-9 miles",4,"Life Sciences",1772,"high","Male","Very High (81-110)","high",1,"Laboratory Technician","low","Divorced","Low(1000-4000)",20520,1,"No",20,"very high","medium",2,5,2,"high","Low(0-5 Years)",3,0,4,0
"57",57,"40 to 50","Yes","Travel_Frequently","High (801-1150)","Research & Development",">=16",3,"Medical",752,"high","Male","Medium (41-60)","very high",1,"Research Scientist","high","Divorced","Low(1000-4000)",20366,6,"Yes",12,"high","very high",0,7,2,"high","Low(0-5 Years)",2,2,2,1
